snapshot_date,enhanced,gold,regular,total,archive_url,archive_date
2019-09-30,5884,442,97875,104201,https://web.archive.org/web/20191023125629/http://sdsos.gov:80/general-services/concealed-pistol-permits/pistolstatistics.aspx,2019-10-23
2019-09-30,5884,442,97875,104201,https://web.archive.org/web/20191101162841/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2019-11-01
2019-09-30,5884,442,97875,104201,https://web.archive.org/web/20191101180824/http://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2019-11-01
2019-11-30,6038,456,95202,101696,https://web.archive.org/web/20200103183825/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-01-03
2019-11-30,6038,456,95202,101696,https://web.archive.org/web/20191222164809/http://sdsos.gov:80/general-services/concealed-pistol-permits/pistolstatistics.aspx,2019-12-22
2020-01-31,6175,477,92542,99194,https://web.archive.org/web/20200211090940/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-02-11
2020-01-31,6175,477,92542,99194,https://web.archive.org/web/20200203051128/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-02-03
2020-02-28,6240,480,90822,97542,https://web.archive.org/web/20200311082534/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-03-11
2020-02-28,6240,480,90822,97542,https://web.archive.org/web/20200304182951/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-03-04
2020-03-31,6327,490,88978,95795,https://web.archive.org/web/20200425094917/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-04-25
2020-03-31,6327,490,88978,95978,https://web.archive.org/web/20200711085809/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-07-11
2020-03-31,6327,490,88978,95795,https://web.archive.org/web/20200412100649/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-04-12
2020-03-31,6327,490,88978,95978,https://web.archive.org/web/20200717144842/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-07-17
2020-03-31,6327,490,88978,95795,https://web.archive.org/web/20200411083735/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-04-11
2020-04-30,6358,495,87311,94164,https://web.archive.org/web/20200513075409/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-05-13
2020-04-30,6358,495,87311,94164,https://web.archive.org/web/20200511082250/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-05-11
2020-05-31,6398,499,86190,93087,https://web.archive.org/web/20200610012913/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-06-10
2020-05-31,6398,499,86190,93087,https://web.archive.org/web/20200611084159/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-06-11
2020-05-31,6398,499,86190,93087,https://web.archive.org/web/20200610012901/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-06-10
2020-07-31,6629,521,84222,91372,https://web.archive.org/web/20200924063047/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-09-24
2020-07-31,6629,521,84222,91372,https://web.archive.org/web/20200818154043/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-08-18
2020-07-31,6629,521,84222,91372,https://web.archive.org/web/20200911083757/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-09-11
2020-07-31,6629,521,84222,91372,https://web.archive.org/web/20200915191925/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-09-15
2020-07-31,6629,521,84222,91372,https://web.archive.org/web/20201003235549/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-10-03
2020-07-31,6629,521,84222,91372,https://web.archive.org/web/20201014021605/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-10-14
2020-07-31,6629,521,84222,91372,https://web.archive.org/web/20201016191643/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-10-16
2020-07-31,6629,521,84222,91372,https://web.archive.org/web/20200811085810/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-08-11
2020-07-31,6629,521,84222,91372,https://web.archive.org/web/20200916151225/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-09-16
2020-07-31,6629,521,84222,91372,https://web.archive.org/web/20201011083129/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-10-11
2020-07-31,6629,521,84222,91372,https://web.archive.org/web/20200928094949/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-09-28
2020-07-31,6629,521,84222,91372,https://web.archive.org/web/20200913173833/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-09-13
2020-09-30,7065,552,82300,89917,https://web.archive.org/web/20201021005140/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-10-21
2020-09-30,7065,552,82300,89917,https://web.archive.org/web/20201028004042/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-10-28
2020-09-30,7065,552,82300,89917,https://web.archive.org/web/20201102003035/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-11-02
2020-10-31,7244,562,81015,88821,https://web.archive.org/web/20201111084016/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-11-11
2020-10-31,7244,562,81015,88821,https://web.archive.org/web/20201103130059/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-11-03
2020-10-31,7244,562,81015,88821,https://web.archive.org/web/20201106081858/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-11-06
2020-10-31,7244,562,81015,88821,https://web.archive.org/web/20201103220231/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-11-03
2020-11-30,7424,570,79931,87925,https://web.archive.org/web/20201229153245/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-12-29
2020-11-30,7424,570,79931,87925,https://web.archive.org/web/20201211084105/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2020-12-11
2020-12-31,7639,588,77105,85332,https://web.archive.org/web/20210116155024/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2021-01-16
2020-12-31,7639,588,77105,85332,https://web.archive.org/web/20210111084754/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2021-01-11
2021-01-31,7758,596,73746,82100,https://web.archive.org/web/20210211093314/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2021-02-11
2021-02-28,7961,614,70236,78811,https://web.archive.org/web/20210429005321/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2021-04-29
2021-02-28,7961,614,70236,78811,https://web.archive.org/web/20210511113309/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2021-05-11
2021-02-28,7961,614,70236,78811,https://web.archive.org/web/20210311090048/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2021-03-11
2021-02-28,7961,614,70236,78811,https://web.archive.org/web/20210330035852/https://sdsos.gov/general-services/concealed-pistol-permits/pistolstatistics.aspx,2021-03-30
